,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
220,MARIA LEONOR MINUCHE ARMIJOS,EL ORO,HUAQUILLAS,ECUADOR,47,6
226,VICENTE  MAYA    -  EXTENSIÓN,EL ORO,HUAQUILLAS,UNION LOJANA,83,4
232,CLEMENCIA GRANDA ROMERO,EL ORO,HUAQUILLAS,HUALTACO,61,6
237,CIUDAD DE MACARA,EL ORO,HUAQUILLAS,MILTON REYES,37,7
238,INSTITUTO DE EDUCACION ESPECIAL HUAQUILLAS,EL ORO,HUAQUILLAS,MILTON REYES,80,3
241,NIÑOS DE BELEN,EL ORO,HUAQUILLAS,EL PARAISO,86,10
249,SEMILLITAS DE SION,EL ORO,HUAQUILLAS,HUALTACO,27,0
250,DR. EUGENIO ESPEJO,EL ORO,HUAQUILLAS,HUALTACO,26,0
255,NICOLAS VALDANO RAFFO,EL ORO,LAS LAJAS,LA VICTORIA,38,4
263,PROVINCIA DE TUNGURAHUA,EL ORO,LAS LAJAS,EL PARAISO,27,3
265,DOLORES CARREÑO DE MORA,EL ORO,LAS LAJAS,EL PARAISO,25,2
270,DR. JOSE MARIA VELAZCO IBARRA,EL ORO,LAS LAJAS,LA LIBERTAD,25,2
272,JORGE YEPEZ CARRANZA,EL ORO,LAS LAJAS,LA LIBERTAD,21,2
276,VICENTE  MAYA,EL ORO,LAS LAJAS,LA VICTORIA,98,5
277,VOLUNTAD DE DIOS,EL ORO,MACHALA,NUEVE DE MAYO,30,1
278,LUZ DE AMERICA,EL ORO,MACHALA,NUEVE DE MAYO,30,1
279,LOS ANGELES,EL ORO,MACHALA,NUEVE DE MAYO,30,1
280,NUEVO PILO,EL ORO,MACHALA,NUEVE DE MAYO,25,1
282,MI LINDO ECUADOR,EL ORO,MACHALA,NUEVE DE MAYO,82,9
283,JESUS DEL GRAN PODER,EL ORO,MACHALA,NUEVE DE MAYO,43,9
285,MANUEL CENTENO GARZON,EL ORO,MACHALA,EL CAMBIO,96,7
287,LOS PASTORCITOS,EL ORO,MACHALA,NUEVE DE MAYO,36,1
289,SAN CARLOS,EL ORO,MACHALA,NUEVE DE MAYO,55,7
293,EL BOSQUE,EL ORO,MACHALA,LA PROVIDENCIA,24,1
300,LOS PANCHITOS,EL ORO,MACHALA,NUEVE DE MAYO,35,2
308,RAYITO DE LUZ,EL ORO,MACHALA,LA PROVIDENCIA,31,1
310,ROSA MARIA,EL ORO,MACHALA,LA PROVIDENCIA,59,9
312,UNION,EL ORO,MACHALA,LA PROVIDENCIA,28,1
315,VICKER,EL ORO,MACHALA,LA PROVIDENCIA,48,7
316,TEMPLO DELA SABIDURÍA,EL ORO,MACHALA,LA PROVIDENCIA,27,2
317,16  DE  MARZO,EL ORO,MACHALA,LA PROVIDENCIA,34,1
326,BOLIVARIANO,EL ORO,MACHALA,LA PROVIDENCIA,60,10
327,TEMISTOCLES ARAUZ ROJAS,EL ORO,MACHALA,LA PROVIDENCIA,95,5
331,MANUEL BUENO FAJARDO,EL ORO,MACHALA,LA PROVIDENCIA,99,7
332,SAN FRANCISCO,EL ORO,MACHALA,LA PROVIDENCIA,77,9
354,NUEVA ESPERANZA,EL ORO,MACHALA,MACHALA,29,1
355,SOL NACIENTE,EL ORO,MACHALA,MACHALA,74,8
356,ELOY ALFARO,EL ORO,MACHALA,MACHALA,28,1
357,LAS TOLAS 1,EL ORO,MACHALA,MACHALA,31,1
365,LUZ DEL MUNDO,EL ORO,MACHALA,MACHALA,85,10
372,ROSA ORTEGA,EL ORO,MACHALA,MACHALA,39,8
380,EL MUNDO DE LOS NIÑOS,EL ORO,MACHALA,MACHALA,48,2
391,INSTITUTO DE EDUCACION ESPECIAL DE CIEGOS Y SORDOS,EL ORO,MACHALA,MACHALA,86,10
400,FUENTE DE VIDA,EL ORO,MACHALA,MACHALA,30,2
401,18 DE OCTUBRE,EL ORO,MACHALA,MACHALA,33,1
407,CENTRO DE FORMACION ARTESANAL PARTICULAR AMERICA,EL ORO,MACHALA,MACHALA,31,7
408,KICHWAKUNAPAK AMAUTA YACHAY,EL ORO,MACHALA,MACHALA,42,3
410,LOS AMIGUITOS,EL ORO,MACHALA,MACHALA,54,4
411,ATLANTIC COLLEGE,EL ORO,MACHALA,MACHALA,68,9
416,SGTO HECTOR CHICA ESPINOZA,EL ORO,MACHALA,MACHALA,66,6
418,SAUCES 2,EL ORO,MACHALA,MACHALA,24,1
421,TOMAS LARREA,EL ORO,MACHALA,MACHALA,72,3
436,JOSE VICENTE PEÑAFIEL ESCALANTE,EL ORO,MACHALA,LA PROVIDENCIA,40,3
439,LAS ÁGUILAS DEL SABER,EL ORO,MACHALA,EL CAMBIO,25,5
442,OLINDA GALVEZ DE ARMIJOS,EL ORO,MACHALA,EL RETIRO,43,3
443,MIGUEL ANGEL PINEDA COBOS,EL ORO,MACHALA,EL RETIRO,37,3
444,LUCIANA CASTRO DE CUCALON,EL ORO,MACHALA,EL RETIRO,65,6
446,10 DE AGOSTO,EL ORO,MACHALA,EL RETIRO,73,5
449,ELOY ALFARO,EL ORO,MACHALA,EL CAMBIO,74,5
452,REMIGEO GEO GOMEZ GUERRERO,EL ORO,MACHALA,EL CAMBIO,64,5
455,25 DE JUNIO,EL ORO,MACHALA,EL CAMBIO,49,4
457,KLEBER FRANCO CRUZ,EL ORO,MACHALA,EL CAMBIO,80,6
466,ATAHUALPA,EL ORO,MACHALA,PUERTO BOLIVAR,30,1
467,CHILLA,EL ORO,MACHALA,PUERTO BOLIVAR,30,1
468,MACHALA,EL ORO,MACHALA,MACHALA,27,1
473,LUZ DE CRISTO,EL ORO,MACHALA,PUERTO BOLIVAR,85,8
474,MONSEÑOR LEONIDAS PROAÑO VILLALVA,EL ORO,MACHALA,PUERTO BOLIVAR,33,6
476,PUERTO BOLIVAR,EL ORO,MACHALA,PUERTO BOLIVAR,94,10
481,CENTRO DE PRIMARIA POPULAR AMAZONAS,EL ORO,MACHALA,PUERTO BOLIVAR,30,1
482,MARINERITO,EL ORO,MACHALA,PUERTO BOLIVAR,68,7
484,JESUCRISTO ES EL REY,EL ORO,MACHALA,PUERTO BOLIVAR,61,9
486,VENECIA DEL MAR,EL ORO,MACHALA,PUERTO BOLIVAR,33,1
487,AUTORIDAD PORTUARIA,EL ORO,MACHALA,PUERTO BOLIVAR,29,1
489,OLIMPIA CARDENAS DE ROSALES,EL ORO,MACHALA,MACHALA,85,3
500,CENTRO  DE  REHABILITACIÓN,EL ORO,MACHALA,MACHALA,67,11
502,JOSÉ MARÍA VELAZ,EL ORO,MACHALA,NUEVE DE MAYO,58,0
504,LA UNIÓN,EL ORO,MACHALA,PUERTO BOLIVAR,30,1
506,CARLOS MORAN ZAMBRANO,EL ORO,MARCABELI,MARCABELI,26,4
508,SIMON BOLIVAR,EL ORO,MARCABELI,MARCABELI,34,2
509,LA INMACULADA,EL ORO,MARCABELI,MARCABELI,51,7
513,CARITAS ALEGRES,EL ORO,MARCABELI,MARCABELI,30,1
514,CIUDAD DE MARCABELI,EL ORO,MARCABELI,MARCABELI,81,8
516,30 DE SEPTIEMBRE,EL ORO,MARCABELI,MARCABELI,26,3
519,ING ANDRES CORSINO GARCIA,EL ORO,PASAJE,PROGRESO,31,3
520,15 DE MAYO,EL ORO,PASAJE,PROGRESO,21,1
521,EL PROGRESO,EL ORO,PASAJE,PROGRESO,65,7
525,OLIVA CARDENAS BATALLAS DE SÁNCHEZ,EL ORO,PASAJE,PROGRESO,41,7
527,NICOLAS SALDAÑA CARPIO,EL ORO,PASAJE,PROGRESO,23,3
528,GENERAL CALICUCHIMA,EL ORO,PASAJE,PROGRESO,63,7
529,DR ALFREDO VERA,EL ORO,PASAJE,PROGRESO,49,6
531,PROVINCIA DEL ORO,EL ORO,PASAJE,PROGRESO,28,1
542,TEMISTOCLES ROMERO LUCIN,EL ORO,PASAJE,CAÑAQUEMADA,46,8
549,CENTRO DE PRIMARIA POPULAR  BUENAVISTA,EL ORO,PASAJE,BUENAVISTA,30,1
559,ALBERTO SERRANO ZAMBRANO,EL ORO,PASAJE,BOLIVAR,88,9
561,21 DE JUNIO,EL ORO,PASAJE,BOLIVAR,94,10
568,PANAMERICANO,EL ORO,PASAJE,OCHOA LEON (MATRIZ),90,14
580,TERESA URDIALES DE PAVON,EL ORO,PASAJE,TRES CERRITOS,39,2
581,ORDONEZ AVILA,EL ORO,PASAJE,OCHOA LEON (MATRIZ),87,6
589,CHIQUILLADAS,EL ORO,PASAJE,BOLIVAR,69,15
592,EUGENIO GARCIA GARCIA,EL ORO,PASAJE,LOMA DE FRANCO,54,5
601,LICEO PARTICULA ISRAEL,EL ORO,PASAJE,OCHOA LEON (MATRIZ),74,10
610,CENTRO DE PRIMARIA POPULAR SANTA MARTHA,EL ORO,PASAJE,LOMA DE FRANCO,36,1
615, LA MONCA,EL ORO,PASAJE,OCHOA LEON (MATRIZ),30,1
620,13 DE MAYO,EL ORO,PASAJE,OCHOA LEON (MATRIZ),33,1
622,GENERAL LUIS LARREA  ALBA,EL ORO,PASAJE,CASACAY,26,3
624,LEOPOLDO MUÑOZ RODRIGUEZ,EL ORO,PASAJE,CASACAY,44,5
630,RAFAEL SALDAÑA MENDOZA,EL ORO,PASAJE,PROGRESO,58,5
631,CIRO VICENTE VERA,EL ORO,PASAJE,PROGRESO,30,4
632,MIGUEL ALFONSO CARMONA BENENAULA,EL ORO,PASAJE,PROGRESO,44,4
633,ENRIQUE COELLO LECARO,EL ORO,PASAJE,UZHCURRUMI,97,10
636,JUAN JACOBO ROUSSEAU,EL ORO,PIÑAS,MOROMORO,92,9
640,MOROMORO,EL ORO,PIÑAS,MOROMORO,61,11
641,PEDRO FERMIN CEVALLOS,EL ORO,PIÑAS,MOROMORO,36,5
648,LUIS CORDERO CRESPO,EL ORO,PIÑAS,PIÑAS GRANDE,47,4
662,MANUEL SIGIBERTO LOAYZA GALLARDO,EL ORO,PIÑAS,LA SUSAYA,73,6
663,EDUCACION ESPECIAL  SOR EUFEMIA MOSCOSO ZAMBRANO,EL ORO,PIÑAS,LA MATRIZ,76,4
667,MELVA OCHOA DE PROAÑO,EL ORO,PIÑAS,LA MATRIZ,96,4
669,GENERAL CALICUCHIMA,EL ORO,PIÑAS,LA MATRIZ,33,2
670,13 DE ABRIL,EL ORO,PIÑAS,SAN ROQUE (AMBROSIO MALDONADO),21,2
672,DR GUILLERMO GUZMAN AYORA,EL ORO,PIÑAS,SAN ROQUE (AMBROSIO MALDONADO),26,4
678,OCHO  DE NOVIEMBRE,EL ORO,PIÑAS,PIEDRAS,32,2
684,GENERAL ELOY ALFARO,EL ORO,PIÑAS,LA BOCANA,41,3
686,DR FRANCISCO CABRERA ROMAN,EL ORO,PIÑAS,PIEDRAS,21,1
687,REPUBLICA DE COLOMBIA,EL ORO,PIÑAS,PIEDRAS,44,4
692,MIGUEL CABRERA DELGADO,EL ORO,PIÑAS,SARACAY,33,2
693,AERO TECNICO DE LA  FAE,EL ORO,PIÑAS,SARACAY,23,2
695,HUMBERTO OCHOA  LOAYZA,EL ORO,PIÑAS,SARACAY,24,1
699,ANGEL SALVADOR OCHOA,EL ORO,PIÑAS,CAPIRO,40,4
701,JUAN MONTALVO,EL ORO,PIÑAS,CAPIRO,31,2
702,SEBASTIAN DE BENALCAZAR,EL ORO,PIÑAS,CAPIRO,61,5
704,CIUDAD  DE CUENCA NUMERO 121,EL ORO,PIÑAS,CAPIRO,31,3
707,FLORIDA,EL ORO,PORTOVELO,PORTOVELO,23,1
709,LENIN MORENO,EL ORO,PORTOVELO,PORTOVELO,88,6
710,MARGARITA COMAS,EL ORO,PORTOVELO,PORTOVELO,25,4
713,CENTRO DE FORMACION ARTESANAL FEDERICO FROEBEL,EL ORO,PORTOVELO,PORTOVELO,25,7
717,CENTRO DE FORMACION ARTESANAL PORTOVELO,EL ORO,PORTOVELO,PORTOVELO,91,6
718,CURTINCAPAC,EL ORO,PORTOVELO,CURTINCAPA,75,13
719,SANTIAGO ZAMORA,EL ORO,PORTOVELO,CURTINCAPA,45,5
721,DR GABRIELGARCIA MORENO,EL ORO,PORTOVELO,MORALES,56,7
722,CIUDAD DE PORTOVELO,EL ORO,PORTOVELO,MORALES,23,1
724,27 DE ABRIL,EL ORO,PORTOVELO,SALATI,32,3
726,LEOPOLDO NICOLAS CHAVEZ,EL ORO,PORTOVELO,SALATI,75,4
728,MIGUEL ANGEL CORRAL,EL ORO,PORTOVELO,SALATI,90,11
731,SAN JOSE,EL ORO,SANTA ROSA,BELLAVISTA,80,10
737,PROF JESUS MARIA FLORES DE PIEDRA,EL ORO,SANTA ROSA,BELLAVISTA,30,3
742,JOSE  JOAQUIN TOLEDO CHICA,EL ORO,SANTA ROSA,BELLAVISTA,41,5
749,3 DE NOVIEMBRE,EL ORO,SANTA ROSA,TORATA,30,2
750,EMILIANO VALVERDE,EL ORO,SANTA ROSA,TORATA,30,3
753,PROVINCIA DE EL ORO,EL ORO,SANTA ROSA,BELLAMARIA,29,3
754,GENERAL ELOY ALFARO,EL ORO,SANTA ROSA,BELLAMARIA,62,5
756,TERESA ARCAYA GERMAN,EL ORO,SANTA ROSA,BELLAMARIA,29,4
758,SIMON BOLIVAR,EL ORO,SANTA ROSA,BELLAMARIA,21,2
761,LUIS REINALDO PAREDES ZAMBRANO,EL ORO,SANTA ROSA,VICTORIA,59,4
763,HECTOR TORO VALAREZO,EL ORO,SANTA ROSA,VICTORIA,93,11
770,WALTER LAINEZ MARTINES,EL ORO,SANTA ROSA,SANTA ROSA,56,4
771,MY SCHOOL,EL ORO,SANTA ROSA,SANTA ROSA,61,6
778,MUNDO DE LA FANTASIA,EL ORO,SANTA ROSA,SANTA ROSA,43,8
780,REPUBLICA DEL ECUADOR  ESPRE,EL ORO,SANTA ROSA,SANTA ROSA,43,6
781,DAVID DE JESUS TORRES APOLO,EL ORO,SANTA ROSA,SANTA ROSA,41,4
784,TENIENTE HUGO ORTIZ,EL ORO,SANTA ROSA,SANTA ROSA,27,1
794,ROSA ARCAYA GERMAN,EL ORO,SANTA ROSA,SANTA ROSA,30,3
795,PADRE EMILIO CATALAN BONO,EL ORO,SANTA ROSA,SANTA ROSA,35,5
799,JOSE MARIA VELASCO IBARRA,EL ORO,SANTA ROSA,SANTA ROSA,24,2
804,WALTER CORDOVA  ARAUZ,EL ORO,SANTA ROSA,SANTA ROSA,53,7
812,MANUEL BENJAMIN PESANTEZ VALAREZO,EL ORO,SANTA ROSA,NUEVO SANTA ROSA,68,10
819,15 DE OCTUBRE,EL ORO,SANTA ROSA,SANTA ROSA,60,2
828,CIUDAD DE GUAYAQUIL,EL ORO,SANTA ROSA,JAMBELI,74,5
830,PROVINCIA DE PICHINCHA,EL ORO,SANTA ROSA,JAMBELI,37,1
832,DR JAIME PALACIOS PERALTA,EL ORO,SANTA ROSA,JAMBELI,41,2
841,AGOYAN,EL ORO,ZARUMA,ABAÑIN,51,3
845,PROVINCIA DEL AZUAY,EL ORO,ZARUMA,ABAÑIN,30,2
850,GENERAL ANTONIO JOSE DE SUCRE,EL ORO,ZARUMA,GUANAZAN,42,2
852,DR JOSE ROSAS ZAMBRANO,EL ORO,ZARUMA,GUANAZAN,37,2
853,MANUEL JACINTO CHIRIBOGA,EL ORO,ZARUMA,GUANAZAN,61,4
854,FERNANDO DAQUILEMA,EL ORO,ZARUMA,GUANAZAN,39,3
857,26 DE NOVIEMBRE,EL ORO,ZARUMA,ABAÑIN,21,2
858,GENERAL ELOY ALFARO,EL ORO,ZARUMA,GUANAZAN,27,3
863,VICENTE  MAYA,EL ORO,ZARUMA,GUANAZAN,33,1
867,FASTACO,EL ORO,ZARUMA,GUANAZAN,24,1
879,GUIZHAGUIÑA,EL ORO,ZARUMA,GUIZHAGUIÑA,79,12
881,DR ALFREDO PEREZ GUERRERO,EL ORO,ZARUMA,GUIZHAGUIÑA,27,2
882,5 DE AGOSTO,EL ORO,ZARUMA,GUIZHAGUIÑA,22,1
883,AMBROSIO MALDONADO,EL ORO,ZARUMA,GUIZHAGUIÑA,38,6
891,MANUEL ROMERO SANCHEZ,EL ORO,ZARUMA,HUERTAS,21,3
892,FRANKLIN DELANO ROOSEVELTH,EL ORO,ZARUMA,HUERTAS,54,6
893,MANUEL DE JESUS CALLE,EL ORO,ZARUMA,MALVAS,86,9
896,DON BOSCO ESPECIAL,EL ORO,ZARUMA,ZARUMA,51,7
906,MIGUEL DE CERVANTES,EL ORO,ZARUMA,ARCAPAMBA,83,9
911,REINALDO ESPINOSA AGUILAR,EL ORO,ZARUMA,MALVAS,55,12
912,5 DE JUNIO,EL ORO,ZARUMA,MULUNCAY GRANDE,90,7
914,CENTRO ARTESANAL GABRIELA MISTRAL,EL ORO,ZARUMA,ZARUMA,43,6
926,LA  LIBERTAD,LOJA,CALVAS,UTUANA,38,4
927,GUTTEMBERG,LOJA,CALVAS,UTUANA,24,4
930,ROBERTH  OWEN,LOJA,CALVAS,COLAISACA,41,5
938,11 DE NOVIEMBRE,LOJA,CALVAS,COLAISACA,27,3
941,UNIDAD ARTESANAL GEORGINA ROSILLO,LOJA,CALVAS,COLAISACA,79,10
942,SERVILLO LUDEÑA GAHONA,LOJA,CALVAS,COLAISACA,27,2
943,LA DOLOROSA  ATILLO,LOJA,CALVAS,COLAISACA,24,1
947,HITLER ROBERTO CORONEL JARAMILLO,LOJA,CALVAS,COLAISACA,28,3
949,TECNICO EDMUNDO CEVALLOS AGUIRRE,LOJA,CALVAS,COLAISACA,36,12
951,DR. ISIDRO AYORA,LOJA,CALVAS,COLAISACA,32,9
958,SAN JUAN DE LA CRUZ,LOJA,CALVAS,CARIAMANGA,24,2
962,SANTIAGO APOSTOL,LOJA,CALVAS,CARIAMANGA,28,5
963,LUIS FELIPE CARBO,LOJA,CALVAS,CARIAMANGA,22,3
967,PENINSULA DE SANTA ELENA,LOJA,CALVAS,CARIAMANGA,72,6
968,AMADA JUMBO SANTA TERESA,LOJA,CALVAS,SAN VICENTE,22,3
974,RUBEN DARIO,LOJA,CALVAS,CHILE,30,4
977,ESPECIAL  HELEN KELLER,LOJA,CALVAS,CARIAMANGA,32,6
979,MUSTIOLA CUEVA DE REYES,LOJA,CALVAS,CARIAMANGA,78,8
980,27 DE OCTUBRE,LOJA,CALVAS,CHILE,30,5
982,GRAN COLOMBIA,LOJA,CALVAS,CHILE,21,2
984,CRISTOBAL COLON,LOJA,CALVAS,CHILE,23,4
986,SAN JUAN EVANGELISTA,LOJA,CALVAS,CHILE,34,4
992,CENTRO DE FORMACION ARTESANAL LA SALLE,LOJA,CALVAS,CHILE,93,12
995,LUZ RODRIGUEZ DE CORONEL,LOJA,CALVAS,CHILE,28,3
996,ROSA ELVIRA BURNEO DE A,LOJA,CALVAS,CHILE,60,5
1004,REINA DEL CISNE,LOJA,CALVAS,SANGUILLIN,38,4
1006,LIC. SALOMON SARANGO,LOJA,CALVAS,SANGUILLIN,42,3
1010,GONZALO ZALDUMBIDE,LOJA,CALVAS,SANGUILLIN,71,8
1018,JUAN JOSE HERRERA OJEDA,LOJA,CALVAS,EL LUCERO,32,4
1019,MANUEL JIMENEZ,LOJA,CALVAS,EL LUCERO,51,6
1022,GERONIMO CARRION,LOJA,CALVAS,EL LUCERO,36,6
1023,CARLOS MONTUFAR,LOJA,CALVAS,EL LUCERO,94,12
1024,LUIS VARGAS TORRES,LOJA,CALVAS,SAN VICENTE,32,4
1025,HUGO COLON RODRIGUEZ,LOJA,CALVAS,SAN VICENTE,23,3
1026,SEGUNDO CORREA,LOJA,CALVAS,SAN VICENTE,22,3
1027,ESCUELA PENINSULA IBERICA,LOJA,CALVAS,SAN VICENTE,31,4
1029,ING. ALFONSO VALDIVIEZO,LOJA,CALVAS,SAN VICENTE,55,5
1031,JOSE MARIA RIOFRIO,LOJA,CATAMAYO,EL TAMBO,29,2
1033,ANDRES TINOCO DE MERCADO,LOJA,CATAMAYO,EL TAMBO,29,3
1034,DANIEL GONZALEZ IRENE,LOJA,CATAMAYO,EL TAMBO,21,2
1036,REPUBLICA DE VENEZUELA,LOJA,CATAMAYO,EL TAMBO,54,4
1038,BALBINA CASTRO,LOJA,CATAMAYO,EL TAMBO,30,4
1039,UNIDAD EDUCATIVA A DISTANCIA DE LOA EXTENSION SAN BERNABÉ,LOJA,CATAMAYO,EL TAMBO,68,7
1041,ESCUELA FISCAL MIXTA SANCHEZ DE ORELLANA,LOJA,CATAMAYO,EL TAMBO,29,2
1042,MIGUEL ANGEL CARRION CUEVA,LOJA,CATAMAYO,EL TAMBO,43,3
1044,DR. GONZALO ARIAS CASTILLO,LOJA,CATAMAYO,EL TAMBO,34,2
1045,ESCUELA VICTORIANO JARAMILLO VIVANCO,LOJA,CATAMAYO,EL TAMBO,37,3
1047,MEDARDO FILOMENO CUEVA,LOJA,CATAMAYO,EL TAMBO,26,2
1048,JUAN FRANCISCO RODRIGUEZ MORA,LOJA,CATAMAYO,EL TAMBO,52,5
1053,CENTRO PSICOPEDAGÓGICO CATAMAYO,LOJA,CATAMAYO,CATAMAYO,22,2
1056,SEMILLITAS DEL SABER,LOJA,CATAMAYO,CATAMAYO,27,4
1061,CORINA DEL PARRAL,LOJA,CATAMAYO,CATAMAYO,59,10
1075,MOISES ALBERTO HIDALGO JARRIN,LOJA,CATAMAYO,CATAMAYO,34,4
1076,CORONEL AUGUSTO WITT ANAZCO,LOJA,CATAMAYO,CATAMAYO,89,13
1081,ULPIANO MOSCOSO,LOJA,CATAMAYO,CATAMAYO,31,3
1084,RIO PALORA,LOJA,CATAMAYO,CATAMAYO,21,1
1086,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION EL PRADO,LOJA,CATAMAYO,GUAYQUICHUMA,36,4
1091,PEDRO VICTOR FALCONI,LOJA,CATAMAYO,ZAMBI,56,9
1097,ENRIQUE VACAS GALINDO,LOJA,CATAMAYO,ZAMBI,36,6
1105,GENOVEVA BUSTAMANTE DE APOLO,LOJA,CELICA,SABANILLA,24,2
1109,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION 5 DE JUNIO,LOJA,CELICA,SABANILLA,60,7
1112,VIRGEN DEL ROSARIO,LOJA,CELICA,SABANILLA,25,2
